Nº RGSEAA (*),Razón Social,Provincia/Localidad,Actividades,Especies (**),Otros Detalles,TSE Feed Ban
10.00890/Z,"GONZALEZ Y ROMERO AGROCARNE,S.L",Zaragoza/ARIZA,"CP, MM, MP, PP",,MP,
10.00893/L,"BERCU, S.A.",Lleida/VALLFOGONA DE BALAGUER,"SH, CP",L,,
10.01000/B,UNIO INTEGRAL ALIMENATARIA S.A.,Barcelona/FRANQUESES DEL VALLES (LES),"CP, MM, MP, PP",,MP,
10.01030/V,"CARNES OLIVER, S.A.",Valencia/València/ALBALAT DELS SORELLS,"CP, MM, MP, PP",,MP,
10.01057/T,PAVO Y DERIVADOS SA,Tarragona/AMPOSTA,"CS, SH, CP, MM, MP",A,,
10.01075/CA,AVES INAVICO S.L.,Cádiz/OLVERA,"CS, SH, CP, MM, MP, PP",A,"BL, MP",
10.01099/C,"POLLOS DE LAIÑO, S.L.","Coruña, A/DODRO","SH, CP",A,,
10.01115/GR,PAYAN HERMANOS S.A.,Granada/MARACENA,"SH, CP, MM, MP, PP",A,MP,
10.01139/MA,RIVAS MATADERO DE CONEJOS S.L.,Málaga/FUENTE DE PIEDRA,SH,L,,
10.01219/AB,"PRODUCTOS ALIMENTICIOS ALBACETE, S.A.",Albacete/ALBACETE,"CS, SH, CP, MM, MP, MSM",A,,
10.01272/IB,"CARNES Y ALIMENTOS MAS CRESPO, SA",Islas Baleares/COLL DE''N RABASSA (ES),"CS, CP, MM, MP, PP",,MP,
10.01279/SE,TOMAS GUERRERO S.L.,Sevilla/MORON DE LA FRONTERA,"CS, SH, PP",A,BL,
10.01290/B,ESCORXADOR ROJAS I ROCA SL,Barcelona/FRANQUESES DEL VALLES (LES),"SH, CP, MM, MP, PP","A, L",MP,
10.01291/VA,"HERMI CARNE DE CONEJO, S. L. U.",Valladolid/CISTERNIGA,"CS, SH, CP, MM, MP",L,,
10.01292/MA,GRANJA AVICOLA LA TORRECILLA S.A.,Málaga/MALAGA,"CS, CP, MM, MP",,,
10.01433/CO,EMBUTIDOS CABALLERO S.L.,Córdoba/CORDOBA,"CS, CP, MM, MP, PP",,MP,
10.01506/T,PAVO Y DERIVADOS SA,Tarragona/ROQUETES,"CS, SH, CP, MM, MP, MSM",A,,
10.01631/B,AVINFRET SA,Barcelona/AVINYO,"CP, MM, MP, PP",,MP,
10.01652/S,VICTOR FRANCISCO ROBLEDO GARCIA,Cantabria/CAMARGO,"CS, SH",L,,
10.01672/MU,"ELPOZO ALIMENTACION, S.A.",Murcia/ALHAMA DE MURCIA,"CS, SH, CP, MM, MP, MSM, PP",P,"BL, MP","BLD, ABP"
10.01697/CR,"CARNES Y EMBUTIDOS VILLASEÑOR, S.L.",Ciudad Real/CIUDAD REAL,"CP, MM, MP, PP",,MP,
10.01798/OR,"COOPERATIVAS OURENSANAS, SOC. COOPERATIVA GALEGA",Ourense/OURENSE,"CS, RW, SH, CP, MM, MP, MSM, PP",A,MP,
10.01806/M,"DISTRIBUCIONES AVICOLAS ARRANZ, S.L.",Madrid/PARACUELLOS DE JARAMA,"CS, CP, MM, MP, MSM",,,
10.01827/IB,"CARNICAS SUÑER, S.A.",Islas Baleares/MANACOR,"CS, CP, MM, MP, PP",,"BL, MP",
10.01956/B,CLOSA I FILLS SL,Barcelona/COPONS,"SH, CP","A, L",,
10.01989/A,"MACIA E HIJOS, S.L.",Alicante/Alacant/REDOVAN,"CS, SH, CP",A,,
10.01995/M,AVENATURE S.L.,Madrid/MORATA DE TAJUÑA,"CS, CP",,,
10.02018/ZA,"AVICOLA GALOCHA, S. L.",Zamora/SAN CRISTOBAL DE ENTREVIÑAS,"CS, SH, CP, MM, MP, MSM",A,,
10.02074/CC,CARNICAS BONSABOR S.L.,Cáceres/PLASENCIA,"CP, MM, MP, PP",,MP,
10.02170/BA,MANUEL ROSA ORTIZ S.C.,Badajoz/VILLANUEVA DE LA SERENA,"CP, GHE","wL, wA, wU, wG",,
10.02203/LU,"MATADERO DE AVES SUAVI, S.L.",Lugo/LUGO,"SH, CP",A,,
10.02219/VA,"AVICOLA DE ISCAR, S. L.",Valladolid/ISCAR,"CS, SH, CP",A,,ABP
10.02255/M,MATADERO INDUSTRIAL DE AVES LOPEZ S.A.,Madrid/ALCALA DE HENARES,"CS, SH, CP, MM, MP, PP",A,MP,
10.02261/Z,COMERCIAL ARAG. DE PROD. ALIMENT. CAPASA,Zaragoza/ZARAGOZA,CP,,,
10.02341/SE,JOSE LUIS GOMEZ HERNANDEZ,Sevilla/CARMONA,"CP, MM, MP, PP",,MP,
10.02415/PO,AVICOLA DE GALICIA SAU,Pontevedra/PONTEVEDRA,"CS, SH, CP",A,,
10.02507/M,"EXPLOTACIONES AVICOLAS JOSE LUIS REDONDO, S.A.",Madrid/LEGANES,"CS, SH, CP, MM, MP, MSM",A,,
10.02543/AB,"HERMI CARNE DE CONEJO, S.L.U.",Albacete/ERAS (LAS),"SH, CP",L,,
10.02692/PO,"MATADERO AVICOLA OTRES, S.L.",Pontevedra/RIBADUMIA,"CS, SH, CP",A,,
10.02760/HU,"ANDRES FERRER E HIJOS, S.A.",Huesca/HUESCA,"CP, MM, MP, PP",,MP,
10.02836/SS,"ADURIZ DE LASARTE, S.A.",Gipuzkoa/LASARTE-ORIA,"CP, MM, MP, PP",,MP,
10.02849/HU,C.B.FERNANDO Y ENRIQUE MELER DELMAS,Huesca/FONZ,SH,A,,
10.02922/J,GRUPO CARNICO RENTERO S.L.,Jaén/LINARES,"CS, CP, MM, MP, PP",,MP,
10.02924/SE,HERMANOS DEL RIO MONTES S.A.,Sevilla/ARAHAL,"SH, CP, MM, MP, PP",A,"BL, MP",
10.02986/M,"CHICKENGAR, S.A.",Madrid/SAN FERNANDO DE HENARES,"CP, MM, MP, PP",,MP,ABP
10.03066/M,"SUALCAN, S.L.",Madrid/MADRID,"CP, MM, MP, MSM",,,
10.03111/SS,"GRANJA AVICOLA ZURUTUZA, S.L.",Gipuzkoa/DONOSTIA/SAN SEBASTIAN,CP,,,
10.03240/MU,"EN JE, S.A.",Murcia/ALGEZARES,"CS, CP",,,
10.03257/SO,"PROCESOS ALIMENTARIOS IESSO, S.COOP.",Soria/OLVEGA,"CP, MM, MP",,,
10.03340/C,HERMI CARNE CONEJO S.L.,"Coruña, A/SADA","SH, CP",L,,
10.03357/NA,"GALIPIENZO, S.L.",Navarra/CASCANTE,"CS, SH, CP, MM, MP",L,,
10.03457/TO,"GRUPO SADA P.A., S.A.",Toledo/LOMINCHAR,"CS, CP, MM, MP, MSM, PP",,MP,
10.03486/MU,"JOSE MARTINEZ AGÜERA, S.L.",Murcia/PUERTOS (LOS),"SH, CP",A,,
10.03493/SS,"PATXI ADURIZ, S.A.",Gipuzkoa/DONOSTIA/SAN SEBASTIAN,"CS, CP",,,
10.03527/M,AVICOLA MORALEJA S.A.,Madrid/MORALEJA DE ENMEDIO,"CS, RW, SH, CP, MM, MP, MSM",A,,
10.03558/MA,GESTION CARNICA ANDALUZA S.L.,Málaga/MALAGA,"RW, CP, MM, MP",,,
10.03583/LO,"MATADERO JOSE CALATAYUD E HIJOS, S.A.","Rioja, La/CALAHORRA","CS, SH, CP, MM, MP, PP",A,MP,
10.03624/Z,"INTEGRADORA CUNICOLA ARAGONESA, S.A.",Zaragoza/LECIÑENA,"SH, CP",L,,
10.03628/BA,POLLOS FUENTES S.L.,Badajoz/FUENTES DE LEON,"SH, CP, MM, MP, PP",A,MP,
10.03710/GR,CATAVI S.A.,Granada/SANTA FE,"CS, SH, CP, MM, MP, PP",A,"BL, MP",
10.03767/GR,AVINATUR PRODUCCIONES AVICOLAS S.L.U.,Granada/PURULLENA,"SH, CP, MM, MP, MSM, PP",A,"BL, MP",
10.03774/J,HERMANOS GARCIA IZQUIERDO S.L.,Jaén/LINARES,"CP, MM, MP, PP",,MP,
10.03835/CR,"MONTERIAS VISEÑAS, S.L.",Ciudad Real/VISO DEL MARQUES,"CP, GHE","wL, wA, wU, wG",,
10.03836/SG,"UVE, S.A.",Segovia/CUELLAR,"SH, CP",A,,ABP
10.03843/Z,"ALBACETE Y VICEN, S.L",Zaragoza/CALATAYUD,CP,,,
10.03868/IB,"COMPAÑIA MEDITERRANEA DE FRIO Y ALIMENTACION, SL",Islas Baleares/PALMA,"RW, CP, MM, MP",,MP,
10.03878/VI,"CARNICAS FRILESA, S.A.U.",Araba/Álava/VITORIA-GASTEIZ,"CS, RW, CP, MM, MP",,MP,
10.03893/T,J. MILA SA,Tarragona/SANTA OLIVA,"CP, MM, MP",,,
10.03918/B,DISTRIBUCIONES JOSEP LLEONART SLL,Barcelona/TERRASSA,"CS, CP, MM, MP",,,
10.03942/L,SERVEIS ESCORXADORS DEL SEGRIÀ SA,Lleida/LLEIDA,"CS, RW, SH, CP, MM, MP",A,,
10.03948/L,CORPORACION ALIMENTARIA GUISSONA SA,Lleida/GUISSONA,"CS, RW, SH, CP, MM, MP, MSM, PP","P, A, B, C, O",MP,
10.03956/L,RABBIT KING SL,Lleida/PREIXENS,SH,L,,
10.03958/L,"FARRE FARRANDO, JOSE Y OTROS CB",Lleida/TREMP,"SH, CP",L,,
10.03971/B,SL DROMINIA,Barcelona/BARCELONA,"RW, CP, MM, MP",,,
10.03992/T,VENANCI MONCADA SL,Tarragona/SALOMO,"CS, SH, CP, MM, MP",L,,
10.04017/L,URGEL GANADERA SA,Lleida/JUNEDA,"CS, RW, SH",A,,
10.04050/B,F. JODAS SA,Barcelona/CERDANYOLA DEL VALLES,"CP, MM, MP",,,
10.04056/B,MAS AVICOLA SA,Barcelona/SABADELL,"CS, RW, SH, CP, MM, MP, PP",A,MP,
10.04060/L,SAGRA SA,Lleida/FONDARELLA,"CS, SH, CP, MM, MP, MSM",A,,
10.04063/B,ALIMENTBARNA SL,Barcelona/MONTCADA I REIXAC,"CS, CP, MM, MP",,,
10.04077/L,MATADERO DE AVES GUIU SL,Lleida/SEU D'URGELL (LA),"CS, SH, CP, MM, MP",A,,
10.04082/T,INDUSTRIA ALIMENTARIA CRUSVI SL,Tarragona/RIUDOMS,"CS, SH, CP, MM, MP, MSM",A,,
10.04103/GE,LINEA ALIMENTARIA SL,Girona/SERINYA,"RW, SH, CP, MM, MP",L,,
10.04122/GE,AVICOLA FIGUERES SL,Girona/FIGUERES,"SH, CP, MM, MP",A,,
10.04173/L,AEROPIC SA,Lleida/LLEIDA,"CS, RW, SH",A,,
10.04185/GE,PORTAS SA,Girona/SERINYA,"CS, CP, MM, MP, PP",,MP,
10.04231/GE,FUSTE BURGAS SA,Girona/FIGUERES,"CP, MM, MP, PP",,MP,
10.04233/GE,"CORONADO LOPEZ, MARIANO",Girona/QUART,"CS, SH",L,,
10.04334/GE,AVICOLA MARIA SA,Girona/BEGUR,"CS, SH, CP, MM, MP",A,,
10.04354/B,COSTA ANGELET SA,Barcelona/VILANOVA DEL VALLES,"CP, MM, MP, PP",,MP,
10.04366/B,CARNICAS GINES SL,Barcelona/TERRASSA,"CP, MM, MP, PP",,MP,
10.04377/B,PAGES DE ROFES S.L.,Barcelona/LLACUNA (LA),"CS, SH, CP, MM, MP","A, L",,
10.04400/B,EMBOTITS MAS SA,Barcelona/BALSARENY,"CS, CP, MM, MP, PP",,MP,
10.04427/GE,COLLS CARRERAS SL,Girona/VIDRERES,"CP, MM, MP, PP",,MP,
10.04443/T,CONILLS PAGES SL,Tarragona/REUS,SH,L,,
10.04444/T,BALDO PALLARES SA,Tarragona/PERELLO (EL),"CS, RW, SH, CP, MM, MP",L,,
10.04450/B,AVIBAGES SL,Barcelona/SANT JOAN DE VILATORRADA,"CS, SH, CP, MM, MP, PP","A, L",MP,
10.04491/A,"AVIMED, S.A.",Alicante/Alacant/ALICANTE/ALACANT,"CS, SH, CP, MM, MP, PP",A,BL,
10.04517/V,MATADERO DE AVES SALVADOR GIL S.L.,Valencia/València/ALZIRA,"CS, RW, SH, CP",A,,
10.04620/CU,S.A.T. HERLO Nº 5603,Cuenca/CASILLAS DE RANERA,"SH, CP",A,,
10.04720/SE,JUAN JOSE SOLA RICCA S.A.,Sevilla/SEVILLA,"CP, MM, MP",,,
10.04784/A,"MATADERO INDUSTRIAL DE AVES Y PROMOCIONES AGRICOLAS GANADERAS,S.A.",Alicante/Alacant/ALICANTE/ALACANT,"CS, RW, SH, CP, PP",A,BL,
10.04901/O,REPRESENTACIONES SUAL SA,Asturias/NAON,"CS, CP, MM, MP",,,
10.04913/A,"AVECOX, S.L.",Alicante/Alacant/COX,"CS, RW, SH, CP, MM, MP, PP",A,BL,
10.04983/PM,AJUNTAMENT DE CIUTADELLA,Palma de Mallorca/CIUTADELLA DE MENORCA,"SH, CP","R, P, B, C, O, L",,
10.05009/M,VEROB S.L.,Madrid/FUENLABRADA,"CP, PP",,MP,
10.05015/Z,SUPERMERCADOS SABECO S.A,Zaragoza/ZARAGOZA,"CS, CP",,,
10.05018/IB,"JOSE FERRA, SAU",Islas Baleares/SANT JORDI DE SES SALINES,"RW, CP, MM, MP",,MP,
10.05070/PM,"MIRALLES JULIA, JUAN",Palma de Mallorca/MONTUÏRI,SH,A,,
10.05080/SE,SURAVE CARNICAS S.A.,Sevilla/SEVILLA,"CS, CP, MM, MP",,,
10.05134/CA,INAVI S.A.,Cádiz/SAN FERNANDO,CP,,,
10.05287/B,SOLER URGELL SL,Barcelona/CALDERS,"SH, CP",L,,
10.05336/CC,POLLOS CACERES S.L.,Cáceres/TALAYUELA,"SH, CP, MM, MP",A,,
10.05347/MU,"CARNICAS DEL GUADALENTIN, S.A.",Murcia/LORCA,"CP, MM, MP, PP",,MP,
10.05483/MU,"CARNICAS HNOS. FUERTES, S.L.",Murcia/TOTANA,"CS, CP",,,
10.05489/BA,DIEXAL S.A.,Badajoz/PUEBLA DE SANCHO PEREZ,"CP, PP",,MP,
10.05523/L,CONILLS CAUBET SRL,Lleida/ARTESA DE SEGRE,"SH, CP, MM, MP",L,,
10.05524/L,CARNIQUES DEL PLA SL,Lleida/MOLLERUSSA,"CS, CP, MM, MP",,,
10.05570/GE,CUSINS SL,Girona/FIGUERES,"CP, MM, MP",,,
10.05576/PO,"CONEJOS GALLEGOS COGAL, SOC.COOPERATIVA",Pontevedra/RODEIRO,"SH, CP, MM, MP, PP","A, L",MP,
10.05584/M,D.M.A. S.A.,Madrid/ALCOBENDAS,CP,,,
10.05682/SS,"CARNICAS IBARRA, S.L.",Gipuzkoa/IBARRA,"CP, PP",,MP,
10.05693/MA,GOURMET DOSVEGAS S.L.,Málaga/MALAGA,CP,,,
10.05707/BA,POLLOS CANO S.L.,Badajoz/SALVATIERRA DE LOS BARROS,"CS, SH, CP, MM, MP",A,,
10.05767/BI,"CEMARSA, S.A.",Bizkaia/BILBAO,"CS, RW, CP, MM, MP",,MP,
10.05772/M,"DISTRIBUCIONES AVICOLAS VAZQUEZ, S.A.",Madrid/SAN FERNANDO DE HENARES,"RW, CP, MSM",,,
10.05798/M,DIMAPA S.L.,Madrid/ARGANDA DEL REY,"CS, CP, MM, MP",,,ABP
10.05807/M,"SAMBAU, S.A.",Madrid/ALGETE,"CP, MM, MP",,,
10.05818/M,HERMANOS MAQUEDA GONZALEZ S.A.,Madrid/MOSTOLES,"CS, CP",,,
10.05826/CO,S.COOP. ANDALUZA GUADALQUIVIR AVICOLA GUADAVI,Córdoba/LUCENA,"CS, RW, CP, MM, MP",,,
10.05837/A,"ANTONIO PAMIES, S.L.",Alicante/Alacant/GRANJA DE ROCAMORA,"CS, SH, CP, PP",A,"BL, MP",
10.05844/CO,CARNES PEREZ Y SANCHEZ S.A.,Córdoba/CORDOBA,"CS, CP, MM, MP, PP",,MP,
10.05861/A,"DISTRIBUCIONES PALACIO ROSELLO, S.L.",Alicante/Alacant/PEDREGUER,"CS, RW, CP, MM, MP, PP",,MP,
10.05993/V,"CARNES OLIVA, S.L.",Valencia/València/OLIVA,"CS, CP, MM, MP, PP",,MP,
10.06010/A,"SANCHEZ ANTON, EUGENIA VICTORIA",Alicante/Alacant/ELCHE/ELX,SH,"A, L",,
10.06027/TF,CABILDO INSULAR DE EL HIERRO,Santa Cruz de Tenerife/VALVERDE,SH,"P, B, C, O, L",,
10.06066/CA,INDUSTRIA AVICOLA SUREÑA S.L.,Cádiz/JEREZ DE LA FRONTERA,"CS, CP, MM, MP",,,
10.06098/GC,"Cruzbe, S.L.","Palmas, Las/TELDE","CP, MM, MP, PP",,MP,
10.06145/B,PERDIUS SELECTES GIRALT SL,Barcelona/TORDERA,"CS, SH",A,,
10.06200/MA,UVE S.A.,Málaga/MALAGA,"CS, SH, CP",A,,
10.06223/A,"SUMINISTROS CARNICOS RIOS, S.L.",Alicante/Alacant/TORREVIEJA,"CP, MM, MP, PP",,MP,
10.06270/B,ENRIC ROCA SA,Barcelona/SURIA,"CS, CP, MM, MP, MSM, PP",,MP,
10.06300/SE,MONTEALBERO S.A.U.,Sevilla/ALCALA DE GUADAIRA,"CP, MM, MP, PP",,MP,
10.06312/CE,HEREDEROS DE MIGUEL JIMENA S.L.,Ceuta/CEUTA,"CS, CP, MM, MP",,,
10.06352/H,"CONGELADOS ARACENA, S.L.",Huelva/ARACENA,"CS, CP, MM, MP",,,
10.06420/GR,CUNIALPUJARRA S.L.,Granada/UGIJAR,SH,L,,
10.06433/M,M. VALCARCEL POLLOS S.L.,Madrid/GETAFE,CP,,,
10.06501/HU,CORPORACION ALIMENTARIA DE GUISSONA S.A,Huesca/HUESCA,"RW, CP",,MP,
10.06502/O,BERDASCO E HIJOS SL,Asturias/GRAU/GRADO,"CP, PP",,MP,
10.06529/A,"CARNICAS BALLESTER, S.L.",Alicante/Alacant/ELCHE/ELX,"CP, MM, MP",,,
10.06690/A,VICENTE GOMEZ PIÑOL S.L.,Alicante/Alacant/VILLAJOYOSA/VILA JOIOSA (LA),"CS, CP, MM, MP",,,
10.06706/CS,"MATADERO DE CONEJOS CAPILLA, S.L.",Castellón/Castelló/GAIBIEL,"SH, CP",L,,
10.06711/S,CAMARGUESA DE DESPIECE S.L.,Cantabria/REVILLA,"CS, CP, MM, MP",,,
10.06714/C,"MATADERO INDUSTRIAL DE CANTALARRANA, S.L.","Coruña, A/NARON","CS, SH, CP, MM, MP, PP","P, B, C, O, S",MP,
10.06778/GC,"Jucarne, S.L.U.","Palmas, Las/TELDE","CS, RW, CP, MM, MP, PP",,MP,
10.06781/V,"ROIG ALBERT, S.L.",Valencia/València/ALBAIDA,"CP, MM, MP, PP",,MP,
10.06812/BI,"CÁRNICAS RASA, S.L.",Bizkaia/ERANDIO,"CP, MM, MP, PP",,MP,
10.06907/B,ESCORXADOR IND. DE CONILLS J. GRAU SL,Barcelona/CALAF,"SH, CP",L,,
10.06969/M,ALCOVENCA S.A.,Madrid/MADRID,CP,,,
10.06972/SE,SADA P.A. ANDALUCIA S.A.,Sevilla/ALCALA DE GUADAIRA,"RW, SH, CP, MM, MP, PP",A,"BL, MP",
10.06986/TO,"INDUSTRIAS PALOMO, S.A.",Toledo/CAMUÑAS,"CP, MM, MP, PP",,MP,
10.07104/AB,"DISTRIBUCIONES AVICOLAS NAVARRO, S.L",Albacete/HELLIN,"CS, CP, MM, MP, PP",,MP,
10.07108/IB,MARCH RIBAS SL,Islas Baleares/SANT LLORENÇ DE BALAFIA,"RW, CP, MM, MP, PP",,MP,
10.07124/V,"CARNES FELIX, S.A.",Valencia/València/ALBAL,"CS, RW, CP, MM, MP, PP",,MP,
10.07143/SG,"LLORENTE PARDO, S. L.",Segovia/SEGOVIA,CP,,,
10.07250/V,"MOMPARLER CARNICAS, S.L.",Valencia/València/POBLA DEL DUC (LA),"CS, CP, MM, MP, PP",,MP,
10.07260/SS,"CARNICAS SAN MARCIAL, S. COOP.",Gipuzkoa/OIARTZUN,"CS, CP, MM, MP",,,
10.07262/BA,POLLOS OLIVA S.L.,Badajoz/OLIVA DE LA FRONTERA,"SH, CP, MM, MP",A,,
10.07281/NA,"REPOBLACIONES DE COTOS DE CAZA, S.L.",Navarra/EGOZKUE,"CS, RW, CP, GHE","wL, wA, wU, wG",,
10.07303/BU,"BERNARDO CUEVAS E HIJOS, S. L.",Burgos/ARANDA DE DUERO,"CS, CP, MM, MP, PP",,MP,
10.07307/SE,CARNICAS LOS TORIBIOS S.L.,Sevilla/CORRALES (LOS),"CP, MM, MP, PP",,MP,
10.07352/CS,"CARNES ROS, S.L.",Castellón/Castelló/BENICARLO,"CP, MM, MP, PP",,MP,
10.07355/V,"POLLOS PLANES, S.L.",Valencia/València/MASSAMAGRELL,"CS, CP",,,
10.07369/BI,"OLABAI GARAIA, S.L.",Bizkaia/MALLABIA,"RW, CP",,,
10.07375/O,REPRESENTACIONES DE AVES Y GANADOS SL,Asturias/CORUÑO,"CS, CP, MM, MP, PP",,MP,
10.07379/A,ESPINOSA Y ESPINOSA S.L.,Alicante/Alacant/PINOS (EL)/PINOSO,"CP, MM, MP, PP",,MP,
10.07395/TO,"LA ABUELA JULIA, S.L.",Toledo/NAMBROCA,"CP, MM, MP, PP",,MP,
10.07406/VA,COMERCIAL AVICOLA CABALLO BLANCO S.L.,Valladolid/VILLALON DE CAMPOS,"CS, RW, CP",,,
10.07415/CR,"ALIMENTACIÓN MAR-GO, S.L.",Ciudad Real/CIUDAD REAL,"CS, CP, MM, MP, PP",,MP,
10.07420/L,GRANÉS MEAT QUALITY SL,Lleida/ALGUAIRE,"CP, MM, MP, PP",,MP,
10.07434/B,SUPERCARNS SL,Barcelona/SANT JOAN DE VILATORRADA,"CS, CP, MM, MP",,,
10.07441/V,"JUAN LOPEZ CALABUIG, S.L.",Valencia/València/FONT DE LA FIGUERA (LA),"CS, SH, CP",L,,
10.07492/SE,INDUSTRIAS AUXILIARES CARNICAS S.L.,Sevilla/RINCONADA (LA),"CP, MM, MP, PP",,MP,
10.07518/VI,"CARNICERIA CHARCUTERIA CARLOTA, S.C.",Araba/Álava/VITORIA-GASTEIZ,"CP, PP",,MP,
10.07523/CS,"HERMANOS PAULO, S.L.",Castellón/Castelló/CALIG,"RW, CP, MM, MP",,,
10.07554/A,"MATADERO DE AVES ANTONIO GARCIA, S.L",Alicante/Alacant/FORMENTERA DEL SEGURA,"CS, CP, PP",,MP,
