Nº RGSEAA (*),Razón Social,Provincia/Localidad,Actividades,Especies (**),Otros Detalles,TSE Feed Ban
10.03623/LO,"HIJOS DE ARTURO CHICOTE, S.L.","Rioja, La/SAN MILLAN DE LA COGOLLA","CP, PP",,MP,
10.03625/S,GESTION CARNICA DEL NORTE S.A.,Cantabria/GUARNIZO,"CS, SH, CP","B, S",,
10.03647/AL,MATADERO FICA S.L.,Almería/BENAHADUX,"SH, CP","P, B, C, O",,
10.03651/LO,ALEJANDRO MIGUEL S.L.,"Rioja, La/NALDA","CS, RW, CP, MM, MP, PP",,MP,
10.03652/SO,"MONAGRE, S.L.",Soria/AGREDA,"SH, CP, MM, MP, PP",P,MP,
10.03660/Z,CARNICAS CALATAYUD S.A,Zaragoza/TORRALBA DE RIBOTA,"CP, MM, MP, PP",,MP,
10.03673/J,"CASTRO ALCAIDE, VALERIANO",Jaén/ALCALA LA REAL,"CP, MM, MP, PP",,MP,
10.03683/H,"ESTEBAN MARQUEZ, BRAULIO",Huelva/CORTECONCEPCION,"CP, PP",,MP,
10.03700/GR,BALTASAR POZO S.L.,Granada/CULLAR,"CP, PP",,MP,
10.03714/OR,"IRMANS COSTA, S.L.",Ourense/ALLARIZ,"CP, PP",,MP,
10.03728/PO,"RAMIRO MARTINEZ, S.L.",Pontevedra/VILANOVA DE AROUSA,"CP, MM, MP, PP",,MP,
10.03758/AV,CORNEJO PEREZ C.B.,Ávila/PIEDRAHITA,"CP, PP",,MP,
10.03764/BA,ANTONIO CENTENO S.L.,Badajoz/ZALAMEA DE LA SERENA,"CP, MM, MP, PP",,MP,
10.03774/J,HERMANOS GARCIA IZQUIERDO S.L.,Jaén/LINARES,"CP, MM, MP, PP",,MP,
10.03779/J,"CUIDATE Y COME, S.L.",Jaén/CHILLUEVAR,"CP, MM, MP, PP",,MP,
10.03785/M,"NEOCARNE, S.L.",Madrid/FUENLABRADA,"CS, CP",,,
10.03794/S,EMBUTIDOS MELI S.L.,Cantabria/GOLBARDO,"CP, MM, MP, PP",,"BL, MP",
10.03805/AV,JOSE LUIS BENITO GARCIA,Ávila/COLILLA (LA),"RW, CP, PP",,MP,
10.03808/MU,CARNICAS Y ELABORADOS EL MORENO S.L.,Murcia/DOLORES,"CP, PP",,MP,
10.03833/CR,"PRODUCTOS CARNICOS PIEDRABUENA, S.L.L.",Ciudad Real/PIEDRABUENA,"CP, MM, MP, PP",,MP,
10.03835/CR,"MONTERIAS VISEÑAS, S.L.",Ciudad Real/VISO DEL MARQUES,"CP, GHE","wL, wA, wU, wG",,
10.03850/SA,"ISIDRO GONZALEZ REVILLA, S. L.",Salamanca/FUENTES DE BEJAR,"RW, CP, PP",,MP,
10.03860/MA,EMBUTIDOS MORENO PLAZA S.A.,Málaga/ALHAURIN EL GRANDE,"RW, CP, MM, MP, PP",,MP,
10.03868/IB,"COMPAÑIA MEDITERRANEA DE FRIO Y ALIMENTACION, SL",Islas Baleares/PALMA,"RW, CP, MM, MP",,MP,
10.03878/VI,"CARNICAS FRILESA, S.A.U.",Araba/Álava/VITORIA-GASTEIZ,"CS, RW, CP, MM, MP",,MP,
10.03881/CR,"CARNICAS ALEJO E HIJOS, S.L.",Ciudad Real/SOLANA (LA),"CP, MM, MP, PP",,MP,
10.03883/BA,MONTEPORRINO S.C.L.,Badajoz/SALVALEON,"SH, CP, PP",P,MP,
10.03893/T,J. MILA SA,Tarragona/SANTA OLIVA,"CP, MM, MP",,,
10.03896/GE,ECORIERA SLU,Girona/VALL D'EN BAS (LA),"CS, CP, MM, MP, PP",,MP,
10.03897/GE,FREYCO SL,Girona/SANT JOAN LES FONTS,"RW, CP",,MP,
10.03903/L,LERIDANA DE PIENSOS SA,Lleida/VALLFOGONA DE BALAGUER,"CS, SH, CP",P,,
10.03918/B,DISTRIBUCIONES JOSEP LLEONART SLL,Barcelona/TERRASSA,"CS, CP, MM, MP",,,
10.03920/B,ANCAU SA,Barcelona/SANTA COLOMA DE CERVELLO,"CP, MM, MP, PP",,MP,
10.03924/B,CARNICAS SOLA SA,Barcelona/GURB,"CS, CP, MSM",,,
10.03929/GE,FRIGORIFICOS COSTA BRAVA SA,Girona/VILAMALLA,"CS, CP",,,
10.03931/GE,MARIA DEL TURA FEIXAS SA,Girona/PRESES (LES),"CS, RW, CP",,,
10.03935/GE,FRIGORIFICOS COSTA BRAVA SA,Girona/RIUDELLOTS DE LA SELVA,"CS, SH, CP, MM, MP, PP",P,ST,
10.03936/GE,UNION FOODS SL,Girona/OLOT,CP,,,
10.03943/L,CARNICAS ARMENGOL SL,Lleida/TARREGA,"CS, RW, CP",,,
10.03948/L,CORPORACION ALIMENTARIA GUISSONA SA,Lleida/GUISSONA,"CS, RW, SH, CP, MM, MP, MSM, PP","P, A, B, C, O",MP,
10.03949/L,MASIA TERO SA,Lleida/TORREGROSSA,"SH, CP",P,,
10.03950/L,FORTUNE PIG SL,Lleida/MOLLERUSSA,"CS, SH, CP, PP",P,ST,
10.03952/T,BON DRIA SL,Tarragona/ALFORJA,"CS, CP, MM, MP, PP",,MP,
10.03957/L,CASA BERNADI SL,Lleida/VALLS D'AGUILAR (LES),"SH, CP, MM, MP, PP",P,MP,
10.03971/B,SL DROMINIA,Barcelona/BARCELONA,"RW, CP, MM, MP",,,
10.03987/GE,FRIGORIFICOS UNIDOS SA,Girona/RIUDELLOTS DE LA SELVA,"CS, SH, CP, PP","B, C, O",MP,
10.04045/B,EMBOTITS ARUMI CASTELLS SL,Barcelona/BALENYA,"CP, PP",,MP,
10.04059/GE,NOEL ALIMENTARIA SAU,Girona/OLOT,"CS, RW, CP, MM, MP, PP",,MP,
10.04077/L,MATADERO DE AVES GUIU SL,Lleida/SEU D'URGELL (LA),"CS, SH, CP, MM, MP",A,,
10.04108/B,CARNS PRIOR SL,Barcelona/SANT JOAN DESPI,CP,,,
10.04121/B,CARNS I EMBOTITS TORRA SL,Barcelona/TORDERA,"CP, MM, MP, PP",,MP,
10.04129/L,MATADERO GENERAL FRIGORIFICO DE LA SEU D'URGELL SA,Lleida/SEU D'URGELL (LA),"SH, CP, MM, MP, PP","B, C, O, S",MP,
10.04185/GE,PORTAS SA,Girona/SERINYA,"CS, CP, MM, MP, PP",,MP,
10.04204/GE,MIQUEL DORCA SL,Girona/VALL DE BIANYA (LA),"SH, CP, MM, MP, PP",P,MP,
10.04206/B,CARNS PONT SA,Barcelona/BARCELONA,"CP, MM, MP",,,
10.04212/B,CARNS RIU SL,Barcelona/CALDES DE MONTBUI,"CP, MM, MP",,,
10.04231/GE,FUSTE BURGAS SA,Girona/FIGUERES,"CP, MM, MP, PP",,MP,
10.04241/B,"SUMINISTROS MEGARO FOODS, SL",Barcelona/MARTORELL,"CS, RW, CP, MM, MP",,MP,
10.04244/B,FRIGORIFICOS BETULO SA,Barcelona/BADALONA,"CP, MM, MP, PP",,MP,
10.04247/GE,PRODUCTORA DESFER CAPS SLU,Girona/ARGELAGUER,"CS, CP",,,
10.04285/B,VIÑALS SOLER SL,Barcelona/ARGENTONA,"CS, SH, CP, PP","B, S",ST,
10.04298/B,CARNS GERARDO LOPEZ S.L.,Barcelona/CORNELLA DE LLOBREGAT,"CS, CP, PP",,MP,
10.04311/GE,"CARNICA BATALLE, SA",Girona/RIUDARENES,"CS, CP, MM, MP, MSM, PP",,,
10.04354/B,COSTA ANGELET SA,Barcelona/VILANOVA DEL VALLES,"CP, MM, MP, PP",,MP,
10.04365/GE,EMBOTITS VILANOVA SL,Girona/TORTELLA,"CS, SH, CP, MM, MP, PP","B, C, O",MP,
10.04366/B,CARNICAS GINES SL,Barcelona/TERRASSA,"CP, MM, MP, PP",,MP,
10.04367/L,AJUNTAMENT DE CORBINS,Lleida/CORBINS,SH,P,,
10.04369/T,CARNS TORRAS SA,Tarragona/ARBOÇ (L'),"CS, CP, MM, MP, PP",,MP,
10.04370/B,EMBUTIDOS SALGOT SA,Barcelona/SEVA,"CP, MM, MP, PP",,MP,
10.04396/GE,ROCA 1927 SLU,Girona/BANYOLES,"CS, SH, CP","B, C, O",,
10.04400/B,EMBOTITS MAS SA,Barcelona/BALSARENY,"CS, CP, MM, MP, PP",,MP,
10.04409/GE,CARNS I EMBOTITS N. VICENS SL,Girona/AIGUAVIVA,"CP, MM, MP, PP",,MP,
10.04421/B,GREMIAL DE CATALUNYA SL,Barcelona/CASTELLBISBAL,"CS, SH, CP, PP","B, C, O, S","MP, ST",
10.04425/GE,FRISELVA SA,Girona/RIUDELLOTS DE LA SELVA,"CS, SH, CP, MSM, PP",P,ST,
10.04427/GE,COLLS CARRERAS SL,Girona/VIDRERES,"CP, MM, MP, PP",,MP,
10.04444/T,BALDO PALLARES SA,Tarragona/PERELLO (EL),"CS, RW, SH, CP, MM, MP",L,,
10.04459/B,"FARRERONS COSTA, LLUÍS",Barcelona/MANLLEU,"CP, MM, MP",,,
10.04469/B,CARNS GUAL SL,Barcelona/IGUALADA,"CS, RW, CP, MM, MP",,,
10.04472/B,GRUP BAUCELLS ALIMENTACIÓ SL,Barcelona/VIC,"CP, MM, MP",,,
10.04481/TO,"INDUSTRIAS CÁRNICAS TELLO, S.A.",Toledo/TOTANES,"CP, MM, MP, PP",,MP,
10.04490/V,"CARNES ROSELLO, S.L.",Valencia/València/TORREBAJA,"SH, CP, MM, MP, PP","P, C, O",MP,
10.04497/V,"CARNES Y EMBUTIDOS ROS, S.L.",Valencia/València/MASSAMAGRELL,"CP, MM, MP, PP",,MP,
10.04508/GR,HERMANOS PLEGUEZUELOS S.A.,Granada/BENALUA,"CP, MM, MP, PP",,MP,
10.04515/CS,AYUNTAMIENTO DE CATI,Castellón/Castelló/CATI,SH,"C, O",,
10.04521/SA,"AURELIO CASTRO Y GONZALEZ, S. A.",Salamanca/GUIJUELO,"CS, CP, MM, MP, PP",,MP,
10.04539/NA,AYUNTAMIENTO DE AOIZ,Navarra/AOIZ/AGOITZ,SH,"C, O",,
10.04547/NA,SOCIEDAD COOPERATIVA MATADERO SAKANA,Navarra/ETXARRI ARANATZ,SH,"B, C, O",,
10.04568/TE,"CARNES DE TERUEL, S.A",Teruel/TERUEL,"CS, SH, CP, PP",P,"MP, ST",
10.04578/H,MATADERO DE CUMBRES MAYORES S.A.,Huelva/CUMBRES MAYORES,"CS, RW, SH, CP, PP",P,"MP, ST",
10.04591/GR,INDUSTRIAS CARNICAS SANJI S.L.,Granada/UGIJAR,"CP, MM, MP, PP",,MP,
10.04592/AV,"CARHESAN, S. A.",Ávila/MUÑANA,"CP, MM, MP, PP",,MP,
10.04593/MA,TORRELVIRA S.L.,Málaga/ALHAURIN EL GRANDE,"RW, CP, MM, MP, PP",,MP,
10.04597/V,"FRIGORIFICO L'HORTA, S.L.",Valencia/València/PICASSENT,SH,"P, B, O, S",,
10.04601/LO,FRIGORIFICOS MANJARRES S.A.,"Rioja, La/MANJARRES","SH, CP, MM, MP, PP",P,MP,
10.04604/SA,"SUCESORES DE JOSE PEREZ, S. L.",Salamanca/ALARAZ,"CP, PP",,MP,
10.04625/H,GONZALEZ CORBACHO E HIJOS S.L.,Huelva/MARINES (LOS),"CP, PP",,MP,
10.04634/SA,FELIPE MUÑOZ E HIJOS S.L.,Salamanca/FUENTES DE OÑORO,"CP, PP",,MP,
10.04636/H,UNION ALOSNERA S.A.,Huelva/ALOSNO,"CS, CP, MM, MP, PP",,MP,
10.04638/H,COMERCIAL JABU S.L.,Huelva/JABUGO,"SH, CP, PP",P,MP,
10.04644/AV,"MARTIN MARTIN BLAZQUEZ, S. A.",Ávila/MUÑANA,"CS, RW, SH, CP, PP",P,MP,
10.04664/SA,"EMBUTIDOS FERMIN, S. L.",Salamanca/ALBERCA (LA),"CS, RW, SH, CP, MM, MP, PP",P,MP,
10.04691/BA,EMBUTIDOS HIDALGO S.L.,Badajoz/AZUAGA,"CP, MM, MP, PP",,MP,
10.04706/ZA,"PUENTE ROBLES, S. L.",Zamora/FERMOSELLE,"CP, PP",,MP,
10.04781/SA,"MOISES ALONSO MARTIN, S. L.",Salamanca/GUIJUELO,"CP, PP",,MP,
10.04720/SE,JUAN JOSE SOLA RICCA S.A.,Sevilla/SEVILLA,"CP, MM, MP",,,
10.04726/SA,"JULIAN RAMOS TABARES, S. L.",Salamanca/GUIJUELO,"CP, PP",,MP,
10.04764/VA,"JUSTINO GUTIERREZ, S.L.",Valladolid/LAGUNA DE DUERO,"CS, SH, CP, MM, MP","P, B, C, O",,
10.04775/H,IBERICOS VAZQUEZ S.L.,Huelva/ARACENA,"CP, MM, MP, PP",,MP,
10.04802/SE,GEPIELMA S.L.U.,Sevilla/VISO DEL ALCOR (EL),"SH, CP","P, B, C, O, S",,
10.04805/MA,INCARYBE S.L.,Málaga/BENAOJAN,"CP, PP",,MP,
10.04806/SO,SOCIEDAD COOPERATIVA JUFASCAS,Soria/AGREDA,CP,,,
10.04809/CO,MURILLO TORRICO S.L.,Córdoba/HINOJOSA DEL DUQUE,"CP, PP",,MP,
10.04811/SE,JAMONES Y EMBUTIDOS CABALLERO S.L.,Sevilla/ALMADEN DE LA PLATA,"CP, PP",,MP,
10.04831/SA,"JAMONES Y EMBUTIDOS JAEM, S.A.",Salamanca/VILLAR DE GALLIMAZO,"CS, SH, CP, PP",P,MP,ABP
10.04854/T,CARNICAS FILLAT SL,Tarragona/VILA-SECA,"CS, CP, MM, MP, PP",,MP,
10.04857/B,CANSALADERIA SERRAT SA,Barcelona/VIC,"CP, MM, MP, PP",,MP,
10.04870/O,PRODUCTOS CARNICOS LA PILARICA SL,Asturias/NOREÑA,"CP, MM, MP, PP",,MP,
10.04877/O,EMBUTIDOS LA TINETENSE SL,Asturias/TINEO,"CP, MM, MP, PP",,MP,
10.04911/BU,"COMERCIAL VILLARCAYO, S.A.",Burgos/VILLARCAYO,"SH, CP, MM, MP",P,,
10.04944/GE,ESCORXADOR VILA DE L'ARMENTERA S.L,Girona/ARMENTERA (L'),SH,"P, B, C, O",,
10.04945/T,PRODUCTOS PUIG SL,Tarragona/TORTOSA,"CS, CP, MM, MP, PP",,MP,
10.04983/PM,AJUNTAMENT DE CIUTADELLA,Palma de Mallorca/CIUTADELLA DE MENORCA,"SH, CP","R, P, B, C, O, L",,
10.04986/V,"SOCIEDAD AGRICOLA GANADERA DE CHESTE, S.L. (SAGACHE, S.L.)",Valencia/València/CHESTE,CP,,,
10.04987/C,"CARNICAS O CHILERO, S.L.","Coruña, A/BERGONDO","CP, MM, MP, PP",,MP,
10.04991/A,J. GONZALBEZ MOLTO S.L.,Alicante/Alacant/ALCOY/ALCOI,"CP, MM, MP, PP",,MP,
10.05005/J,HERMANOS LOMAS ESPINOSA C.B.,Jaén/NOALEJO,"CP, MM, MP, PP",,MP,
10.05015/Z,SUPERMERCADOS SABECO S.A,Zaragoza/ZARAGOZA,"CS, CP",,,
10.05017/TO,"LA CATEDRAL DE LA CAZA, S.L.",Toledo/YEBENES (LOS),"CP, GHE, MM, MP, PP","wL, wA, wU, wG",MP,
10.05018/IB,"JOSE FERRA, SAU",Islas Baleares/SANT JORDI DE SES SALINES,"RW, CP, MM, MP",,MP,
10.05019/V,MERCAVALENCIA S.A.,Valencia/València/VALENCIA,"SH, CP","P, B, C, O, S",,
10.05024/L,AJUNTAMENT D'ISONA I CONCA DELLA,Lleida/ISONA I CONCA DELLA,SH,"P, C, O",,
10.05035/SE,AVES MORISCAS S.L.L.,Sevilla/MARCHENA,"CP, PP",,MP,
10.05039/BI,CARNES GARCISA S.A.,Bizkaia/BARAKALDO,"CS, CP, MM, MP",,,
10.05053/B,COMPANYIA GENERAL CARNIA SA,Barcelona/BARCELONA,"CP, MM, MP, PP",,MP,
10.05059/L,AJUNTAMENT D'ALFARRAS,Lleida/ALFARRAS,SH,"P, C, O",,
10.05063/B,FRIMOSA SA,Barcelona/SANT QUIRZE DEL VALLES,"CS, RW, CP, PP",,"MP, ST",
10.05075/ZA,"EMBUTIDOS ALFONSO, S. A.",Zamora/SAN VITERO,"CS, SH, CP, MM, MP, PP","P, B",MP,
10.05076/CS,AYUNTAMIENTO DE CULLA,Castellón/Castelló/CULLA,SH,"C, O",,
10.05080/SE,SURAVE CARNICAS S.A.,Sevilla/SEVILLA,"CS, CP, MM, MP",,,
10.05102/GE,AJUNTAMENT DE PERALADA,Girona/PERALADA,SH,"C, O",,
10.05142/MU,"SUCESORES DE ROMERA, S.L.",Murcia/CEHEGIN,"CP, PP",,MP,
10.05156/SO,"EMBUTIDOS LA HOGUERA, S. A.",Soria/SAN PEDRO MANRIQUE,"CP, MM, MP, PP",,MP,
10.05177/B,AGROALIMENTARIA DE SAVASSONA SL,Barcelona/TAVERNOLES,"CP, MM, MP, PP",,MP,
10.05204/B,ESCORXADOR COMARCAL DEL MOIANES SA,Barcelona/MOIA,"CS, SH, CP, PP",P,ST,
10.05205/B,CARNS CAN CARTRO SL,Barcelona/SUBIRATS,SH,"C, O",,
10.05213/GE,FRECARN SL,Girona/MAÇANET DE LA SELVA,"CS, CP, MM, MP, PP",,MP,
10.05227/M,CARNES SIERRA MADRID S.A.,Madrid/COLLADO VILLALBA,"CS, SH, CP",B,,
10.05230/J,EMBUTIDOS CARRASCO S.L.,Jaén/CAZORLA,"CP, MM, MP, PP",,MP,
10.05236/SG,"FABRICA DE EMBUTIDOS LA PRUDENCIA, S.A.",Segovia/VILLACASTIN,"CS, SH, CP, PP",P,MP,
10.05244/L,ESCORXADOR L'ALT URGELL SCP,Lleida/OLIANA,SH,"C, O",,
10.05252/GR,JAMONES EL PUENTE DE GRANADA S.L.,Granada/GRANADA,"CP, MM, MP, PP",,MP,
10.05262/SG,"CORDEROS DE PEDRAZA, S. A.",Segovia/PEDRAZA,SH,"C, O",,
10.05265/MU,MARAVILLAS,Murcia/CEHEGIN,"CP, PP",,MP,
10.05269/PO,"CHORIZOS GALICIA, S.L.",Pontevedra/PONTEVEDRA,"CP, MM, MP, PP",,MP,
10.05276/GE,FRIGORIFICOS DALMAU SA,Girona/CELRA,CP,,,
10.05347/MU,"CARNICAS DEL GUADALENTIN, S.A.",Murcia/LORCA,"CP, MM, MP, PP",,MP,
10.05348/SE,JOTAFRESH IBERICOS S.L,Sevilla/SEVILLA,"CS, CP",,,
10.05357/GE,OLOT MEATS SA,Girona/OLOT,"SH, CP, PP",P,ST,
10.05358/L,AJUNTAMENT DE TORREBESSES,Lleida/TORREBESSES,SH,O,,
10.05390/LU,EVA RUBAL NEIRA,Lugo/RIBADEO,"CP, MM, MP, PP",,"MP, ST",
10.05401/V,"JOSE GONZALEZ BELDA, S.A.",Valencia/València/CATARROJA,"CP, MM, MP, PP",,MP,
10.05427/B,SPLENDID FOODS SAU,Barcelona/SEVA,"CP, MM, MP, PP",,MP,
10.05433/CU,"CARNICAS ARACELI, S.L.",Cuenca/VILLALBA DE LA SIERRA,"CS, SH, CP, GHE, MM, MP, PP","P, wU, C, O, wG","BL, MP",
10.05441/CS,CARNES HERMANOS BELTRAN S.L.,Castellón/Castelló/BENICARLO,CP,,,
10.05448/LE,"CARNICAS ANJOS, S. L.",León/VILLADANGOS DEL PARAMO,"CS, CP, MM, MP, PP",,MP,
10.05450/MU,BAR AQUILINO S.L.,Murcia/SAN PEDRO DEL PINATAR,CP,,,
10.05473/L,CONSELL COMARCAL DE L'ALTA RIBAGORÇA,Lleida/PONT DE SUERT (EL),SH,"P, B, C, O",,
10.05475/GE,ESCORXADOR DE GIRONA SA,Girona/GIRONA,"CS, SH, CP","B, C, O, S",,
10.05487/PO,"CARNICAS ANZO, S.L.N.E.",Pontevedra/LALIN,"CP, MM, MP, PP",,MP,
10.05488/SA,"FERMIN RAMOS, S. A.",Salamanca/GUIJUELO,"SH, CP",P,,ABP
10.05489/BA,DIEXAL S.A.,Badajoz/PUEBLA DE SANCHO PEREZ,"CP, PP",,MP,
10.05491/CO,JAMONES RUTE S.L.,Córdoba/RUTE,"CP, MM, MP, PP",,MP,
10.05493/H,RAMOS DOMINGUEZ S.L.,Huelva/HIGUERA DE LA SIERRA,"CP, PP",,MP,
10.05506/CC,ACERO VAZQUEZ E HIJOS S.L.,Cáceres/MIAJADAS,"RW, CP, MM, MP, PP",,MP,
10.05508/OR,CASA SANCHEZ SANTA EUGENIA S.L.,Ourense/CARBALLIÑO (O),"CP, PP",,MP,
10.05515/C,"CARNICEROS DE LA CORUÑA, S.A. (CARNICOSA)","Coruña, A/CORUÑA (A)","CS, WM, SH, CP, PP","P, B, C, O, S",ST,
10.05518/BA,CARDENO S.L.,Badajoz/FUENTES DE LEON,"SH, CP, PP",P,MP,
10.05524/L,CARNIQUES DEL PLA SL,Lleida/MOLLERUSSA,"CS, CP, MM, MP",,,
