Nº RGSEAA (*),Razón Social,Provincia/Localidad,Actividades,Especies (**),Otros Detalles,TSE Feed Ban
10.02269/H,"JAMONES EIRIZ JABUGO, S.L.",Huelva/CORTECONCEPCION,"RW, CP, PP",,MP,
10.02292/H,SIERRA DE JABUGO S.L.,Huelva/CORTEGANA,"CS, RW, SH, CP, MM, MP, PP",P,MP,
10.02298/GR,JAMONES VIUDA RODRIGUEZ S.L.,Granada/GUADIX,"RW, PP",,MP,
10.02300/SE,MIGUEL ALFARO S.A.,Sevilla/ESTEPA,PP,,MP,
10.02302/H,HIJOS DE ANTONIO DOMINGUEZ CHACON S.L.,Huelva/CUMBRES MAYORES,"CP, PP",,MP,
10.02306/SE,MONTEALBOR ALIMENTACION S.A.,Sevilla/ALCALA DE GUADAIRA,"CS, MM, MP, PP",,MP,
10.02323/H,HIJOS DE ONOFRE SANCHEZ MARTIN S.A.,Huelva/JABUGO,"CP, PP",,MP,
10.02341/SE,JOSE LUIS GOMEZ HERNANDEZ,Sevilla/CARMONA,"CP, MM, MP, PP",,MP,
10.02346/CO,CRISMONA S.A.,Córdoba/DOÑA MENCIA,"MM, MP, PP",,MP,
10.02350/GR,VALENZUELA MONTERO S.L.,Granada/ILLORA,"CS, CP, MM, MP, PP",,MP,
10.02353/GR,ANTONIO MILENA LEON S.L.,Granada/ATARFE,"MM, MP, PP",,MP,
10.02356/H,VDA. DE NARCISO CHACON S.A.,Huelva/CUMBRES MAYORES,PP,,MP,
10.02359/CO,C.B. HERMANOS CAMBRON FERNANDEZ,Córdoba/HINOJOSA DEL DUQUE,PP,,MP,
10.02384/SE,HERBU S.L.,Sevilla/CARMONA,"SH, PP","P, B",MP,
10.02399/CO,LOPEZ NEVADO JORGE,Córdoba/HINOJOSA DEL DUQUE,"RW, PP",,MP,
10.02498/SE,ALMACENES BENITO GARCIA S.A.,Sevilla/ARAHAL,PP,,MP,
10.02552/SE,PACO MARIN S.L.,Sevilla/LEBRIJA,"CS, CP, MM, MP",,,
10.02559/AL,ALMERICARNE S.L.,Almería/ALMERIA,"MM, MP, PP",,MP,
10.02560/AL,PRODUCTOS CARNICOS SEGURA HERMANOS S.L.,Almería/HUERCAL DE ALMERIA,"CP, MM, MP, PP",,MP,
10.02571/AL,JAMONES ARTESANOS DE SERON 1880 S.L.,Almería/SERON,PP,,MP,
10.02603/CA,MONTESIERRA S.A.,Cádiz/JEREZ DE LA FRONTERA,"SH, CP, MM, MP, PP",P,MP,
10.02628/AL,INDUSTRIAS CARNICAS OÑA S.L.,Almería/ALMERIA,"CP, MM, MP, PP",,MP,
10.02630/AL,FRANCISCO MONTES E HIJOS S.L.,Almería/SAN ISIDRO DE NIJAR,"CP, MM, MP, PP",,MP,
10.02638/MA,ALIMENTOS CARNICOS ANDALUCES S.L.,Málaga/MALAGA,PP,,MP,
10.02712/H,CHAPARRO CHAPARRO RAMON,Huelva/CUMBRES MAYORES,PP,,MP,
10.02713/H,MATADERO INDUSTRIAL DE CORTEGANA-ARTESANOS DE JABUGO S.A.,Huelva/CORTEGANA,"RW, SH, CP, MM, MP, PP",P,MP,
10.02721/AL,INDUSTRIAS CARNICAS ESCOBAR S.L.,Almería/EJIDO (EL),"CP, MM, MP, PP",,MP,
10.02727/CO,AGROIBERICA DE POZOBLANCO S.L.,Córdoba/POZOBLANCO,"CS, RW, PP",,MP,
10.02750/J,EMBUTIDOS NOALEJO S.L.,Jaén/NOALEJO,"CP, MM, MP, PP",,MP,
10.02751/J,DELGADO Y GONZALEZ S.C.,Jaén/CAMPILLO DE ARENAS,"MM, MP, PP",,MP,
10.02752/GR,JAMONES GUTIERREZ Y GALLEGOS S.L.,Granada/LANJARON,PP,,MP,
10.02829/CO,S.COOP.ANDALUZA CELEDONIO MONTILLA,Córdoba/LUCENA,"SH, CP, MM, MP, PP","P, B",MP,
10.02851/J,EMBUTIDOS CARCHELEJO S.L.U.,Jaén/CARCHELES,"CS, CP, PP",,MP,
10.02853/J,HIJOS DE REYES PEREZ S.L.,Jaén/MENGIBAR,PP,,MP,
10.02894/MA,CARNES Y GANADOS ANDALUCIA S.L.,Málaga/SIERRA DE YEGUAS,"CS, MM, MP, PP",,"BL, MP",
10.02897/GR,AROMA DE LA ALPUJARRA S.L,Granada/JUVILES,PP,,MP,
10.02901/J,EMBUTIDOS CAMPOSIERRA S.L.,Jaén/JAEN,"MM, MP, PP",,MP,
10.02922/J,GRUPO CARNICO RENTERO S.L.,Jaén/LINARES,"CS, CP, MM, MP, PP",,MP,
10.02924/SE,HERMANOS DEL RIO MONTES S.A.,Sevilla/ARAHAL,"SH, CP, MM, MP, PP",A,"BL, MP",
10.02950/CO,JIMENEZ OT FRANCISCO VICENTE,Córdoba/GUADALCAZAR,"MM, MP, PP",,"BL, MP",
10.02961/GR,SAN LEON S.L.,Granada/BENAMAUREL,"RW, MM, MP, PP",,MP,
10.03004/J,HIJOS DE JULIO LUQUE S.L.,Jaén/FUENSANTA DE MARTOS,"RW, CP, MM, MP, PP",,MP,
10.03006/J,"BARRANCO JIMENEZ, SERAFIN",Jaén/GUARDIA DE JAEN (LA),"MM, MP, PP",,MP,
10.03007/J,INDUSTRIAS CARNICAS JOSE TITOS S.L.,Jaén/NOALEJO,"CP, MM, MP, PP",,"BL, MP",
10.03054/MA,SOCIEDAD COOPERATIVA ANDALUZA MATADERO INDUSTRIAL COOPERATIVA MAINCO,Málaga/RONDA,"SH, CP, PP",P,MP,
10.03101/J,"GONZALEZ TORRES, RAFAEL",Jaén/PORCUNA,"CP, PP",,MP,
10.03123/GR,ANTONIO ALARCON PASTOR E HIJOS S.L.,Granada/OGIJARES,"MM, MP, PP",,MP,
10.03160/J,C.B. PEREZ HINOJOSA-LARA FERNANDEZ,Jaén/FUENSANTA DE MARTOS,"RW, MM, MP, PP",,MP,
10.03162/SE,MATADERO FRIGORIFICO EL VALLE S.L.,Sevilla/ECIJA,"SH, CP, PP","P, B, C, O",MP,
10.03246/GR,EMBUTIDOS Y JAMONES HERMANOS GIRON S.L.,Granada/BAZA,PP,,MP,
10.03317/GR,FAMILIA PIERNAS S.L.,Granada/BAZA,"MM, MP, PP",,MP,
10.03318/MA,SOCIEDAD COOPERATIVA ANDALUZA EMBUTIDOS SERRANIA,Málaga/IGUALEJA,"MM, MP, PP",,"BL, MP",
10.03331/GR,CARNICAS MARTINEZ MANZANO S.L.,Granada/BAZA,PP,,MP,
10.03332/GR,"MUÑOZ SORIA, JOSE",Granada/ALPUJARRA DE LA SIERRA,PP,,MP,
10.03336/SE,LEON PRIETO AURORA,Sevilla/CONSTANTINA,PP,,MP,
10.03350/J,EMBUTIDOS BONILLA S.L.,Jaén/FUENSANTA DE MARTOS,PP,,MP,
10.03351/MA,MEDINA RUIZ INDUSTRIAS CARNICAS S.L.,Málaga/JIMERA DE LIBAR,"CP, MM, MP, PP",,MP,
10.03353/H,"CARDENO DOMINGUEZ, BARTOLOME",Huelva/CUMBRES DE SAN BARTOLOME,PP,,MP,
10.03364/CO,HIJOS DE MANUEL RUMBAO S.L.,Córdoba/CORDOBA,RW,,ST,
10.03377/MA,COMERCIAL CARNES DEL GUADALHORCE S.L.,Málaga/COIN,"RW, CP, MM, MP, PP",,MP,
10.03384/MA,JAMONES Y EMBUTIDOS MELGAR S.L.,Málaga/ARRIATE,"CP, PP",,MP,
10.03387/GR,JAMONES JUAN TOLEDO S.L.,Granada/ZAFARRAYA,PP,,MP,
10.03396/GR,JAMONES JOSE RUBIO S.L.,Granada/LOJA,PP,,MP,
10.03401/J,HIJOS DE MIGUEL ARIZA S.L.,Jaén/ALCAUDETE,"MM, MP, PP",,MP,
10.03411/H,EL COSO ANDALUZ S.L.,Huelva/SANTA OLALLA DEL CALA,"CP, PP",,MP,
10.03413/SE,FRANCISCO CHISVERT S.L.,Sevilla/SEVILLA,CS,,,
10.03422/SE,PRODUCTOS GUADAIRA S.L.,Sevilla/ALCALA DE GUADAIRA,"CS, MM, MP, PP",,MP,
10.03431/J,SANTIAGO JULIAN PALACIOS VALIENTE Y DOS MAS C.B.,Jaén/QUESADA,PP,,MP,
10.03439/SE,B.P. SEVILLA S.A.,Sevilla/SEVILLA,CP,,,
10.03443/AL,CASTAÑO CANO ANTONIO,Almería/SERON,"CP, PP",,MP,
10.03462/MA,PRODUCTOS CARNICOS BURGALESES S.L.,Málaga/MALAGA,CP,,,
10.03469/MA,EMBUTIDOS GAMARRO S.L.,Málaga/ARRIATE,PP,,MP,
10.03518/MA,FABRICA MATADERO Y DESPIECE S.A.,Málaga/CAMPANILLAS,"RW, MM, MP, PP",,MP,
10.03530/MA,GONZALEZ GOMEZ ANGEL,Málaga/MONTEJAQUE,PP,,MP,
10.03558/MA,GESTION CARNICA ANDALUZA S.L.,Málaga/MALAGA,"RW, CP, MM, MP",,,
10.03577/CO,GASTROMARKET IBERIA S.L.,Córdoba/CAÑETE DE LAS TORRES,"CP, MM, MP, PP",,MP,
10.03647/AL,MATADERO FICA S.L.,Almería/BENAHADUX,"SH, CP","P, B, C, O",,
10.03673/J,"CASTRO ALCAIDE, VALERIANO",Jaén/ALCALA LA REAL,"CP, MM, MP, PP",,MP,
10.03683/H,"ESTEBAN MARQUEZ, BRAULIO",Huelva/CORTECONCEPCION,"CP, PP",,MP,
10.03700/GR,BALTASAR POZO S.L.,Granada/CULLAR,"CP, PP",,MP,
10.03702/J,"MARTINEZ BOTIA, MARIA DOLORES",Jaén/ALCALA LA REAL,PP,,MP,
10.03703/J,"GONZALEZ MARTINEZ, ANTONIO",Jaén/VILLACARRILLO,PP,,MP,
10.03710/GR,CATAVI S.A.,Granada/SANTA FE,"CS, SH, CP, MM, MP, PP",A,"BL, MP",
10.03738/J,"TORRES MONGE, S.L.",Jaén/POZO ALCON,PP,,MP,
10.03740/MA,EMBUTIDOS OLMEDO S.L.,Málaga/ANTEQUERA,"MM, MP, PP",,"BL, MP",
10.03763/H,JAMONES SANCHEZ S.L.,Huelva/BOLLULLOS PAR DEL CONDADO,"CS, RW, PP",,MP,
10.03766/MA,FRIGORIFICOS M. DOMINGUEZ S.L.,Málaga/BENAOJAN,"CS, RW, PP",,MP,
10.03767/GR,AVINATUR PRODUCCIONES AVICOLAS S.L.U.,Granada/PURULLENA,"SH, CP, MM, MP, MSM, PP",A,"BL, MP",
10.03774/J,HERMANOS GARCIA IZQUIERDO S.L.,Jaén/LINARES,"CP, MM, MP, PP",,MP,
10.03779/J,"CUIDATE Y COME, S.L.",Jaén/CHILLUEVAR,"CP, MM, MP, PP",,MP,
10.03795/GR,"RUIZ MARTIN, JUAN ANTONIO",Granada/POLOPOS,PP,,MP,
10.03860/MA,EMBUTIDOS MORENO PLAZA S.A.,Málaga/ALHAURIN EL GRANDE,"RW, CP, MM, MP, PP",,MP,
10.03891/AL,"FERNANDEZ REVERTE, FELIX",Almería/MARIA,PP,,MP,
10.04508/GR,HERMANOS PLEGUEZUELOS S.A.,Granada/BENALUA,"CP, MM, MP, PP",,MP,
10.04578/H,MATADERO DE CUMBRES MAYORES S.A.,Huelva/CUMBRES MAYORES,"CS, RW, SH, CP, PP",P,"MP, ST",
10.04579/H,SELECCION DE JABUGO S.L.,Huelva/ARACENA,"RW, MM, MP, PP",,MP,
10.04591/GR,INDUSTRIAS CARNICAS SANJI S.L.,Granada/UGIJAR,"CP, MM, MP, PP",,MP,
10.04593/MA,TORRELVIRA S.L.,Málaga/ALHAURIN EL GRANDE,"RW, CP, MM, MP, PP",,MP,
10.04608/MA,ANTONIO ESPEJO S.L.,Málaga/ALHAURIN DE LA TORRE,PP,,MP,
10.04617/GR,"GUTIERREZ BELTRAN, JESUS",Granada/HUETOR TAJAR,PP,,MP,
10.04625/H,GONZALEZ CORBACHO E HIJOS S.L.,Huelva/MARINES (LOS),"CP, PP",,MP,
10.04636/H,UNION ALOSNERA S.A.,Huelva/ALOSNO,"CS, CP, MM, MP, PP",,MP,
10.04638/H,COMERCIAL JABU S.L.,Huelva/JABUGO,"SH, CP, PP",P,MP,
10.04647/GR,JAMONES NICOLAS S.L.,Granada/GOJAR,"CS, PP",,MP,
10.04674/CO,EMBUTIDOS JURADO S.L.,Córdoba/ESPEJO,PP,,MP,
10.04675/CO,S.C.A. GANADERA DEL VALLE DE LOS PEDROCHES (COVAP),Córdoba/POZOBLANCO,"CS, PP",,MP,
10.04716/H,JAMONES Y EMBUTIDOS LUCAS S.L.,Huelva/VILLANUEVA DE LOS CASTILLEJOS,PP,,MP,
10.04719/MA,"DOMINGUEZ DEL VALLE, JOSE",Málaga/BENAOJAN,PP,,MP,
10.04720/SE,JUAN JOSE SOLA RICCA S.A.,Sevilla/SEVILLA,"CP, MM, MP",,,
10.04734/H,IBERICOS DE BELLOTA GALVAN S.L.,Huelva/CUMBRES MAYORES,"RW, PP",,MP,
10.04754/GR,JAMONES CABEZAS S.L.,Granada/CHAUCHINA,PP,,MP,
10.04755/GR,JAMONES RUBIO MEDINA S.L.,Granada/GÜEJAR SIERRA,"MM, MP, PP",,MP,
10.04756/H,CENTELLES Y BUJ S.L.,Huelva/ROMEROS (LOS),PP,,MP,
10.04757/H,VIUDA DE MIGUEL FERNANDEZ MARQUEZ S.L.,Huelva/LINARES DE LA SIERRA,PP,,MP,
10.04775/H,IBERICOS VAZQUEZ S.L.,Huelva/ARACENA,"CP, MM, MP, PP",,MP,
10.04802/SE,GEPIELMA S.L.U.,Sevilla/VISO DEL ALCOR (EL),"SH, CP","P, B, C, O, S",,
10.04805/MA,INCARYBE S.L.,Málaga/BENAOJAN,"CP, PP",,MP,
10.04809/CO,MURILLO TORRICO S.L.,Córdoba/HINOJOSA DEL DUQUE,"CP, PP",,MP,
10.04810/GR,"MORILLAS ALVAREZ, ANTONIO",Granada/LANJARON,PP,,MP,
10.04811/SE,JAMONES Y EMBUTIDOS CABALLERO S.L.,Sevilla/ALMADEN DE LA PLATA,"CP, PP",,MP,
10.05004/H,"CASTAÑO GOMEZ, TOMAS",Huelva/SANTA BARBARA DE CASA,PP,,MP,
10.05005/J,HERMANOS LOMAS ESPINOSA C.B.,Jaén/NOALEJO,"CP, MM, MP, PP",,MP,
10.05035/SE,AVES MORISCAS S.L.L.,Sevilla/MARCHENA,"CP, PP",,MP,
10.05080/SE,SURAVE CARNICAS S.A.,Sevilla/SEVILLA,"CS, CP, MM, MP",,,
10.05082/J,MILLA HERRERO FRANCISCO JAVIER,Jaén/CAMPILLO DE ARENAS,PP,,MP,
10.05083/H,"NAVARRO CAMPOS, JOSE MANUEL",Huelva/VALDELARCO,"MM, MP, PP",,MP,
10.05084/SE,ANGEL LOPEZ SANZ S.L.,Sevilla/CORIPE,PP,,MP,
10.05134/CA,INAVI S.A.,Cádiz/SAN FERNANDO,CP,,,
10.05197/MA,TRIPASUR S.L.,Málaga/CARTAMA,"RW, PP",,ST,
10.05230/J,EMBUTIDOS CARRASCO S.L.,Jaén/CAZORLA,"CP, MM, MP, PP",,MP,
10.05235/H,"CASTAÑO GUIJARRO, ENRIQUE",Huelva/CUMBRES MAYORES,PP,,MP,
10.05252/GR,JAMONES EL PUENTE DE GRANADA S.L.,Granada/GRANADA,"CP, MM, MP, PP",,MP,
10.05306/H,"NAVARRO CARRANZA, FRANCISCO",Huelva/CUMBRES MAYORES,PP,,MP,
10.05307/J,MAROTO EXPOSITO PATROCINIO,Jaén/ANDUJAR,"MM, MP, PP",,MP,
10.05348/SE,JOTAFRESH IBERICOS S.L,Sevilla/SEVILLA,"CS, CP",,,
10.05412/SE,MATADEROS DEL SUR S.A.,Sevilla/RONQUILLO (EL),PP,,MP,
10.05444/J,EMBUTIDOS GOMEZ OEAR,Jaén/UBEDA,"MM, MP, PP",,MP,
10.05491/CO,JAMONES RUTE S.L.,Córdoba/RUTE,"CP, MM, MP, PP",,MP,
10.05493/H,RAMOS DOMINGUEZ S.L.,Huelva/HIGUERA DE LA SIERRA,"CP, PP",,MP,
10.05545/GR,INDUSTRIAS CARNICAS SIERRA NEVADA S.A.,Granada/CAJAR,"CP, MM, MP, PP",,MP,
10.05599/H,GABRIEL CASTAÑO S.L.,Huelva/CUMBRES MAYORES,PP,,MP,
10.05609/SE,FABRICA DE EMBUTIDOS REINA DE LOS ANGELES S.L.,Sevilla/REAL DE LA JARA (EL),"MM, MP, PP",,MP,
10.05639/CO,INDUSTRIAS CARNICAS CORDOBA OLMO S.L.,Córdoba/ESPEJO,PP,,MP,
10.05657/SE,EMBUTIDOS REINA S.L.,Sevilla/CORIPE,"RW, MM, MP, PP",,MP,
10.05671/GR,"BARTHE GARCIA, CARLOS",Granada/BUBION,PP,,MP,
10.05693/MA,GOURMET DOSVEGAS S.L.,Málaga/MALAGA,CP,,,
10.05710/MA,"RAMOS GARCIA, CAYETANO",Málaga/BENARRABA,"RW, MM, MP, PP",,"BL, MP",
10.05715/H,SIERRA MAYOR JABUGO S.A.,Huelva/CORTECONCEPCION,"CS, CP, PP",,MP,
10.05753/MA,RODRIGUEZ GUERRERO FRANCISCO,Málaga/CORTES DE LA FRONTERA,PP,,MP,
10.05790/J,JAEN KEBAB PRODUCCION S.L,Jaén/JAEN,"MM, MP, PP",,MP,
10.05794/H,"MUÑOZ LOPEZ, ANDRES",Huelva/SANTA OLALLA DEL CALA,PP,,MP,
10.05799/H,SUCESORES DE RAFAEL FERNANDEZ S.L.,Huelva/GALAROZA,"CP, MM, MP, PP",,MP,
10.05809/H,"SANCHEZ LARGO, CARMEN",Huelva/CUMBRES DE SAN BARTOLOME,PP,,MP,
10.05825/H,FABRICA EMBUTIDOS NUESTRA PATRONA SANTA MARINA S.L.,Huelva/ZALAMEA LA REAL,"CP, MM, MP, PP",,MP,
10.05826/CO,S.COOP. ANDALUZA GUADALQUIVIR AVICOLA GUADAVI,Córdoba/LUCENA,"CS, RW, CP, MM, MP",,,
10.05844/CO,CARNES PEREZ Y SANCHEZ S.A.,Córdoba/CORDOBA,"CS, CP, MM, MP, PP",,MP,
10.05854/CA,CARNICAS LAS ABIERTAS S.L.U.,Cádiz/ARCOS DE LA FRONTERA,"SH, CP, MM, MP, PP",P,MP,
10.05856/H,GONZALEZ BLANCO ARMANDO,Huelva/CUMBRES MAYORES,PP,,MP,
10.05866/AL,INDUSTRIAS CARNICAS SIERRA MARIA S.L.,Almería/MARIA,"SH, CP, MM, MP, PP","P, C, O",MP,
10.05867/GR,FRANCISCO MILENA LEON,Granada/COLOMERA,"CS, PP",,MP,
10.05988/AL,PEÑACRUZ S.L.,Almería/SERON,PP,,MP,
10.06006/H,IBERICOS DE BELLOTA VAZQUEZ MOYA S.L.,Huelva/CUMBRES MAYORES,"RW, PP",,MP,
10.06054/J,"LOMAS GARCIA, ANTONIA",Jaén/NOALEJO,"MM, MP, PP",,"BL, MP",
10.06063/AL,MARTINEZ ENRIQUE S.L.,Almería/PULPI,PP,,MP,
10.06065/H,HERMANOS CARDENO S.L.,Huelva/CUMBRES MAYORES,"RW, PP",,MP,
10.06066/CA,INDUSTRIA AVICOLA SUREÑA S.L.,Cádiz/JEREZ DE LA FRONTERA,"CS, CP, MM, MP",,,
10.06091/H,JUAN MARQUEZ S.L.,Huelva/VILLANUEVA DE LOS CASTILLEJOS,"RW, PP",,MP,
10.06200/MA,UVE S.A.,Málaga/MALAGA,"CS, SH, CP",A,,
10.06276/GR,JAMONES MARISCAL S.A.,Granada/MONACHIL,PP,,MP,
10.06300/SE,MONTEALBERO S.A.U.,Sevilla/ALCALA DE GUADAIRA,"CP, MM, MP, PP",,MP,
10.06334/J,"TENEDOR RODRIGUEZ, IGNACIO",Jaén/BEAS DE SEGURA,PP,,MP,
10.06352/H,"CONGELADOS ARACENA, S.L.",Huelva/ARACENA,"CS, CP, MM, MP",,,
10.06396/MA,INDUSTRIAS CARNICAS DE BENAOJAN S.L.,Málaga/BENAOJAN,"CS, RW, SH, CP, MM, MP, PP",P,MP,
10.06420/GR,CUNIALPUJARRA S.L.,Granada/UGIJAR,SH,L,,
10.06560/CA,SOCIEDAD COOPERATIVA ANDALUZA LA TORREÑA,Cádiz/TORRE ALHAQUIME,PP,,MP,
10.06561/MA,HERMANOS DOMINGUEZ PANIZ S.L.,Málaga/BENAOJAN,"RW, PP",,MP,
10.06570/AL,CARNICAS BONILLO S.L.,Almería/ALBOX,"CP, MM, MP, PP",,MP,
10.06573/CA,LA CAMPERA S.A.,Cádiz/CHICLANA DE LA FRONTERA,PP,,MP,
10.06591/CA,CARNICOS ORTEGA PUERTO S.L.,Cádiz/PUERTO DE SANTA MARIA (EL),"CS, MM, MP, PP",,MP,
10.06634/MA,JOSE ANTONIO DOMINGUEZ NUÑEZ S.L.,Málaga/BENAOJAN,"RW, CP, MM, MP, PP",,MP,
10.06733/CO,CARNICAS NIETO S.L.,Córdoba/RAMBLA (LA),"MM, MP, PP",,MP,
10.06736/H,VAZQUEZ BAUTISTA JABUGO S.L.,Huelva/ALMONASTER LA REAL,PP,,MP,
10.06758/H,ANTONIO CASTAÑO CASTAÑO S.L.,Huelva/CUMBRES MAYORES,PP,,MP,
10.06796/AL,"RODRIGUEZ ARTES, ELENA",Almería/ALHAMA DE ALMERIA,"CS, CP, MM, MP, PP",,MP,
10.06822/CO,ROLDAN ALBA DIEGO,Córdoba/IZNAJAR,"CS, MM, MP, PP",,MP,
10.06840/CO,HERMANOS RODRIGUEZ BARBANCHO S.L.,Córdoba/HINOJOSA DEL DUQUE,PP,,MP,
